id,skill
90895726,BPMN
90895726,Python
90895726,Java
90895726,Системный анализ
90895726,ORACLE
90895726,Аналитические навыки
90895726,Организаторские навыки
90895726,Разработка технических заданий
90895726,Написание технических заданий
90895726,Описание бизнес-процессов
90895726,Jira
90895726,Навыки работы с большим объемом информации
93815129,Golang
93815129,HighLoad
94369340,PostgreSQL
94369340,Linux
94369340,Информационная безопасность
94369340,Jatoba
94369340,СУБД
94369340,Docker
94369340,Bash
94369340,Автоматизация процессов
94369340,Zabbix
94369340,Security Awareness
94369340,PowerShell
94369340,Windows
103559790,Python
103559790,JavaScript
103559790,Архитектура
103559790,SQL
103559790,Базы данных
103559790,PostgreSQL
103559790,Постановка задач разработчикам
103559790,Управление командой
101158455,Python
101158455,SQL
101158455,Статистический анализ
101158455,Работа с базами данных
101158455,Анализ данных
101158455,Подготовка презентаций
101158455,Аналитическое мышление
104579103,BI
104579103,Big Data
104579103,SQL
104579103,DWH
95608955,MS SQL
95608955,Разработка ПО
95608955,C#
104062746,Python
104062746,MS SQL
104062746,Linux
104062746,Java
104062746,СУБД
104062746,Bash
104062746,PowerShell
104062746,Проведение тестирований
104062746,Информационная безопасность
104062746,Пентестер
104062746,Pentest
104062746,Киберучения
104584972,Windows
104584972,Linux
104584972,C++
104584972,Python
104584972,QML
104584972,CI/CD
104584972,REST API
103693903,Python
103693903,Redis
103693903,ООП
103693903,PostgreSQL
103693903,Unit Testing
103693903,SQL
103693903,Git
103693903,C++
103693903,STL
104426356,Техническая поддержка
104426356,Администрирование серверов Linux
104426356,Администрирование серверов Windows
104426356,ESXi
104426356,Hyper-V
104426356,KVM
104426356,Python
104426356,Bash
104426356,PowerShell
104426356,OpenStack
99279198,PHP
99279198,Yii
99279198,Laravel
99279198,Docker
99279198,MySQL
99279198,RabbitMQ
99279198,MongoDB
99279198,Go
99279198,Elasticsearch
99279198,Python
99279198,TypeScript
98534800,Linux
98534800,Git
98534800,SVN
98534800,Bash
102843166,TeamCity
102843166,Gitlab
102843166,Postgres
102843166,Grafana
102843166,Python
102843166,PowerShell
102843166,Bash
102843166,Go
102843166,C#
102843166,CI/CD
102843166,Windows
102843166,Linux
103891804,Бизнес-анализ
103891804,Анализ данных
103891804,Power BI
103891804,Сбор данных
103891804,Оптимизация бизнес-процессов
103891804,Добросовестность
103891804,Умение работать в команде
103891804,Ориентированность на результат
103891804,Бизнес-процессы
98237258,Qt
98237258,GUI
98237258,C/C++
98237258,архитектура ПО
98237258,UML
98237258,SDL
98237258,Git
98237258,Linux
98237258,docker
98237258,unit-test
98237258,QML
98237258,CI/CD
103778179,программирование
103778179,работа с детьми
103778179,роботоехника
103778179,проведение занятий для детей
103778179,3D Моделирование
103778179,Схемотехника электронного оборудования
103778179,Arduino
103778179,Подготовка методических материалов
103778179,Преподаватель
103778179,Прораммист
103778179,Инженер
103778179,работа на Linux
90234671,SQL
90234671,ETL
90234671,DWH
103344410,Python
103344410,Django Framework
103344410,PostgreSQL
92202389,Linux
92202389,Nginx
92202389,Docker
92202389,Asyncio
92202389,aiohttp
92202389,Squid
92202389,Сетевые технологии
92202389,Информационная безопасность
92202389,Python
92202389,Асинхронное программирование
92202389,Clickhouse
92202389,ETCD
100355929,Python
100355929,системная аналитика
100355929,Знание БД
100355929,написание технических заданий
100355929,Doker
100355929,JSON
100355929,SOAP
100355929,REST
100355929,PostgreSQ
103460217,Python
103460217,Linux
103460217,Сетевые протоколы
103460217,Микросервисы
103460217,Базы данных
103460217,SQLAlchemy
103460217,Docker
103478808,Git
103478808,JavaScript
103478808,Postman
103478808,Linux
103478808,iOS
103478808,Тестирование
103478808,Английский язык
103478808,Python
103478808,Android
100497216,MES
100497216,BPM
100497216,SQL
100497216,OPC
97866651,Ручной монтаж SMD компонентов
97866651,Измерительные приборы
97866651,Чтение электросхем
97866651,Чтение конструкторской документации
97866651,Техническая документация
97866651,LoraWan
97866651,SMD
97866651,Delphi
97866651,Python
97866651,Функциональное тестирование
103722592,Функциональное тестирование
103722592,SQL
103722592,Atlassian Confluence
103722592,Тестирование API
103722592,Python
103722592,Java
103722592,Atlassian Jira
103722592,Автоматизированное тестирование
94555488,Linux
94555488,Python
94555488,Docker
94555488,Kubernetes
94555488,Ansible
94555488,DevOps
100414838,Golang
100414838,Linux
100414838,RabbitMQ
100414838,Redis
100414838,MySQL;
100414838,PostgreSQL
100414838,Git
100414838,Docker;
100414838,DevOps
100414838,Python
100414838,C++
104736825,Linux
104736825,Docker
104736825,Kubernetes
104736825,Nomad
104736825,Gitlab
104736825,Python
104736825,Bash
104736825,PostgreSQL
104736825,Terraform
104736825,Ansible
104736825,TCP/IP
104323567,CMake
104323567,C++
104323567,Python
104323567,Bash
93100301,Python
93100301,Тестирование
93100301,QA
93100301,SQL
93100301,Linux
104227770,Linux
104227770,Ansible
104227770,Python
104227770,OpenStack
104227770,Настройка DNS
104227770,CI/CD
92475709,Python
92475709,Golang
92475709,Go
103072627,Финансовый анализ
103072627,Экономический анализ
103072627,Аналитическое мышление
103072627,Финансовое моделирование
103072627,Экономическое моделирование
98548623,"DLP (Devicelock, Search Inform, Spector360)"
98548623,SIEM
98548623,WAF
98548623,MaxPatrol
98548623,Проектная документация
98548623,Linux
98548623,Информационная безопасность
98548623,Infowatch
98548623,SolarDozor
98548623,Positive Technologies
98548623,KUMA
98548623,SOAR
101475395,Исследовательский анализ данных
101475395,Проверка статистических гипотез
101475395,MS SQL
101475395,CTE
101475395,Python
104094874,CI\CD
104094874,Docker
104094874,Kubernetes
104094874,OpenShift
104094874,OKD
104094874,PostgreSQL
104094874,MongoDB
104094874,ORACLE
104094874,MS SQL
104094874,Git
104094874,Python
104094874,Ansible
104094874,Jenkins
104094874,Azure DevOps
104094874,EFK\ELK
104094874,Grafana
104094874,Prometheus
104094874,Zabbix
99114317,SQL
99114317,MS SQL
99114317,API
99114317,Тестирование мобильных приложений
99114317,Swift
99114317,Kotlin
99114317,Xcode
99114317,Android Studio
99114317,Android
99114317,iOS
103012774,Google Analytics
103012774,Маркетинговый анализ
103012774,Internet Marketing
103012774,Контекстная реклама
103012774,Аналитические исследования
103012774,Поисковая оптимизация сайтов
103012774,Битрикс24
103012774,API
103012774,Python
102550123,Linux
102550123,Python
102550123,Bash
102550123,Docker
102550123,DevOps
102550123,Terraform
102550123,Умение принимать решения
102550123,Nginx
102550123,Kubernetes
102550123,Prometheus
102550123,Yandex Cloud
103595911,IP-телефония
103595911,Java
103595911,Python
103595911,Avaya
103651417,JavaScript
103651417,React
103651417,Angular
103651417,Vue.js
103651417,Python
103651417,NoSQL
103651417,PostgreSQL
103651417,MongoDB
103651417,Cassandra
103651417,Cloud platforms
103651417,Docker
103651417,Kubernetes
103651417,AI/ML
103651417,ETL
103651417,Spark
103651417,Kafka
103651417,Tableau
103651417,Power BI
103651417,D3.js
103761994,Управление продуктом
103761994,Управление проектами
103761994,Capacity Planning
104528462,Работа с возражениями
104528462,Телефонные переговоры
104528462,Навыки продаж
104528462,Деловая коммуникация
101189684,Linux
101189684,Ansible
101189684,RabbitMQ
101189684,Python
101189684,Bash
101189684,PowerShell
101189684,Git
101189684,Kubernetes
101189684,Nginx
102592269,SQL
102592269,Python
102592269,Machine Learning
102592269,Аналитическое мышление
102592269,Математическое моделирование
103282101,Python
103282101,Pytest
103282101,Linux
102841995,Администрирование серверов Linux
102841995,Linux
102841995,Информационная безопасность
102841995,Обучение и развитие
102841995,Ubuntu Server
102841995,Коммуникабельность
102841995,Ответственность
102841995,Аналитический склад ума
102712834,преподавание
102712834,Автоматизация
102712834,электроэнергетика
102712834,Обучение
104200259,Python
104200259,SQL
104200259,MS Access
104200259,Работа с базами данных
104200259,Математическое моделирование
104200259,MS PowerPoint
104200259,Английский язык
104200259,Сбор и анализ информации
104200259,Прогнозирование
104200259,Статистика
104200259,Power Query
104200259,Математический анализ
104200259,Аналитические исследования
104200259,Анализ данных
104200259,Работа с большим объемом информации
104200259,Atlassian Jira
104200259,VBA
104200259,Разработка технических заданий
104200259,XML
104200259,Бизнес-анализ
103580271,Linux
103580271,Nginx
103580271,Системный подход
103580271,SRE
83029892,FIrewall
83029892,NGFW
83029892,IDS
83029892,спедства обнаружения вторжений
83029892,NTA
103344959,Python
103344959,Golang
102122184,SQL
102122184,Python
102122184,Математический анализ
102122184,Data Analysis
102122184,Аналитические исследования
102122184,Проверка статистических гипотез
103885264,Python
103885264,PostgreSQL
103885264,CI/CD
103199344,Kubernetes
103199344,Docker
103199344,Docker-compose
103199344,Prometheus
103199344,CI/CD
103199344,DevOps
103199344,ИТ-инфраструктура
103691070,OWASP Top 10
103691070,DevSecOps
103691070,SSDLC
103691070,Kubernetes
103691070,CI/CD
103691070,Информационная безопасность
97961036,C/C++
97961036,Bash
97961036,SVN
97961036,ARM
97961036,Python
97961036,Git
104207545,SQL
104207545,Retail
104207545,System Analysis
104207545,Базы данных
104207545,Системный анализ
104207545,Аналитическое мышление
104207545,Бизнес-анализ
104207545,UML
104207545,REST
104207545,Scrum
104207545,Техническая документация
104207545,Business Analysis
104207545,Agile
104207545,JSON API
104207545,Анализ бизнес показателей
104207545,Анализ данных
104207545,data base
104207545,жизненный цикл ПО
104207545,Waterfall
104207545,Анализ требований
104207545,HTTP
104207545,Работа с базами данных
104207545,Python
104207545,BPMN
104207545,Use Case Analysis
104207545,Веб-программирование
104207545,Оптимизация бизнес-процессов
104207545,Разработка ПО
104207545,Аналитический склад ума
103059202,Linux
103059202,Proxmox
103059202,Docker
103059202,CI/CD
103059202,ELK
103059202,Zabbix
103059202,Grafana
103059202,Kubernetes
103059202,DevOps
103059202,Ansible
103059202,Gitlab
102064181,Linux
102064181,Нагрузочное тестирование
102064181,Apache JMeter
104473597,SQL
104473597,Linux
104473597,автоматизация тестирования
104473597,Python
103654946,Linux
103654946,SQL
103654946,Kubernetes
103654946,Docker
103654946,Git
103654946,OpenShift
103654946,Bash
103654946,Виртуализация
103654946,Helm
103654946,Jenkins
103654946,Prometheus
103654946,Grafana
104651143,Linux
104651143,Git
104651143,Python
104651143,Helm Chart
104651143,Prometheus
104651143,Zabbix
104651143,Grafana
104651143,ELK
104651143,Kubernetes
104651143,Docker
103026583,Python
103026583,Apache Kafka
103026583,Нагрузочное тестирование
103026583,Kubernetes
103026583,Linux
91139724,Linux
91139724,Информационная безопасность
91139724,WAF
91139724,Web
103869858,Autodesk Revit
103869858,Navisworks
103869858,Dynamo
103869858,Python
103869858,С#
103869858,Проектирование
99292816,Язык Си
99292816,C++
99292816,FreeRTOS
99292816,RTOS
99292816,Embedded
99292816,CMake
99292816,LoRA
99292816,STM32
91066539,Bash
91066539,Unix
91066539,DevOps
91066539,ORACLE
91066539,Docker
91066539,Kubernetes
104165571,Greenplum
104165571,C/C++
104165571,Golang
104165571,Python
104165571,Базы данных
104331868,CI\CD
104331868,Docker
104331868,Kubernetes
104331868,OpenShift
104331868,OKD
104331868,PostgreSQL
104331868,MongoDB
104331868,ORACLE
104331868,MS SQL
104331868,Git
104331868,Python
104331868,Ansible
104331868,Jenkins
104331868,Azure DevOps
104331868,EFK\ELK
104331868,Grafana
104331868,Prometheus
104331868,Zabbix
91947354,Linux
91947354,Сетевые технологии
91947354,Обработка трафика
91947354,DPDK
91947354,VPP
91947354,OpenDataPlane
91947354,Snabb
91947354,C
91947354,Си
91947354,Cи
103638138,работа с детьми
103638138,Python
103638138,HTML
103638138,Adobe Photoshop
103638138,Обучение и развитие
103638138,scratch
103638138,Преподавание
103638138,Самодисциплина
103638138,Ответственность
103638138,Вовлеченность
92963581,Linux
92963581,Администрирование серверов Linux
92963581,Bash
92963581,Python
92963581,Nginx
94369235,PostgreSQL
94369235,Linux
94369235,Информационная безопасность
94369235,Jatoba
94369235,СУБД
94369235,Docker
94369235,Bash
94369235,Автоматизация процессов
94369235,Zabbix
94369235,SOAR
94369235,SGRC
94369235,TI
94369235,Security Awareness
102592204,Python
102592204,SQL
102592204,Аналитическое мышление
102592204,Работа с базами данных
102592204,Machine Learning
90928745,Информационная безопасность
90928745,Разработка технических заданий
90928745,Bash
90928745,Python
90928745,Information Security
90928745,Проведение тестирований
104171736,СУБД
104171736,ORACLE
104171736,Работа с базами данных
104171736,Delphi
90501234,Spring Framework
90501234,REST
90501234,API
90501234,SOAP
90501234,JSON API
90501234,Xsd
90501234,.NET Framework
90501234,Python
90501234,Java
90501234,kafka
103256715,Преподаватель
103256715,Работа в команде
103256715,Обучение
103256715,работа с детьми
103256715,программирование
103256715,Разработка ПО
103256715,Java
103256715,C++
103256715,Python
103256715,C/C++
103256715,Обучение и развитие
103256715,Веб-программирование
103256715,Программирование 3D-графики
103256715,Линейное программирование
103256715,HTML
103256715,PHP
103256715,Репетитор
103256715,Грамотность
103256715,Грамотная речь
103256715,обучение детей
103256715,робототехника
103256715,Групповое обучение
103256715,Преподавание
103256715,Наставничество
103219697,Навыки презентации
103219697,проведение презентации
103219697,Работа в команде
103219697,Грамотная речь
103219697,Клиентоориентированность
103219697,работа с людьми
103219697,Разработка компьютерных Игр
103219697,3D Моделирование
103219697,Робототехника
103219697,Unity
103219697,GIMP
103219697,Веб-программирование
103219697,Веб-дизайн
103074524,1С программирование
103074524,ERP-системы на базе 1С
103972779,CI/CD
103972779,Linux
103972779,Kubernetes
103972779,DevOps
103972779,Nginx
103972779,Написание скриптов
91837088,C++
91837088,STL
91837088,Boost
91837088,CMake
103709428,Пользователь ПК
103709428,Грамотная речь
103709428,Репетиторство
103709428,Индивидуальное обучение
103709428,Репетитор
103709428,Pascal
103709428,Python
103709428,Информационные технологии
103709428,Дистанционное обучение
103709428,Удаленная работа
103709428,Преподавание
103709428,Информатика
103709428,Репетитор по информатике
103587384,Игровые продуктовые метрики
103587384,MS Excel
103587384,SQL
103587384,Python
103587384,Аналитика
103587384,Анализ данных
103587384,Математическая статистика
103587384,Аналитическое мышление
101589554,Linux
101589554,SQL
101589554,DevOps
101589554,СУБД
101589554,Unix
101589554,Docker
101589554,Английский язык
101589554,Gitlab
101589554,Базы данных
101589554,Ansible
101589554,TeamCity
101589554,Nginx
101589554,CI/CD
101589554,RabbitMQ
101589554,Clickhouse
101589554,Kubernetes
101589554,Redis
103125659,Обучение и развитие
103125659,Организация учебного процесса
103125659,Дистанционное обучение
103125659,Информатика
103125659,Индивидуальное обучение
103125659,Преподавание
103125659,Python
103125659,Подготовка к ОГЭ
103125659,Подготовка к ЕГЭ
